mutant_id,source_id,relation_family,operator,site,seed,fixed_subject,mutant_subject,effect_tvd,expected_detected,source_path,fixed_path
pm_perm_10,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[3, 2, 1, 0]",20240529,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""10"", ""perm"": [3, 2, 1, 0]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""10"", ""perm"": [3, 2, 1, 0]}}",1.00000000,true,,
pm_perm_11,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[1, 0, 3, 2]",20240530,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""11"", ""perm"": [1, 0, 3, 2]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""11"", ""perm"": [1, 0, 3, 2]}}",1.00000000,true,,
pm_perm_12,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[1, 3, 0, 2]",20240531,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""12"", ""perm"": [1, 3, 0, 2]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""12"", ""perm"": [1, 3, 0, 2]}}",1.00000000,true,,
pm_perm_13,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[2, 0, 3, 1]",20240532,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""13"", ""perm"": [2, 0, 3, 1]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""13"", ""perm"": [2, 0, 3, 1]}}",1.00000000,true,,
pm_perm_14,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[3, 2, 1, 0]",20240533,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""14"", ""perm"": [3, 2, 1, 0]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""14"", ""perm"": [3, 2, 1, 0]}}",1.00000000,true,,
pm_perm_15,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[1, 0, 3, 2]",20240534,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""15"", ""perm"": [1, 0, 3, 2]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""15"", ""perm"": [1, 0, 3, 2]}}",1.00000000,true,,
pm_perm_16,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[1, 3, 0, 2]",20240535,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""16"", ""perm"": [1, 3, 0, 2]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""16"", ""perm"": [1, 3, 0, 2]}}",1.00000000,true,,
pm_perm_17,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[2, 0, 3, 1]",20240536,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""17"", ""perm"": [2, 0, 3, 1]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""17"", ""perm"": [2, 0, 3, 1]}}",1.00000000,true,,
pm_perm_18,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[3, 2, 1, 0]",20240537,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""18"", ""perm"": [3, 2, 1, 0]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""18"", ""perm"": [3, 2, 1, 0]}}",1.00000000,true,,
pm_perm_19,program_perm_parity,program_input_permutation,builder_ignores_qubit_order,"perm=[1, 0, 3, 2]",20240538,"{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": false, ""case_id"": ""19"", ""perm"": [1, 0, 3, 2]}}","{""kind"": ""input_permutation"", ""kwargs"": {""bits"": [1, 0, 0, 0], ""buggy"": true, ""case_id"": ""19"", ""perm"": [1, 0, 3, 2]}}",1.00000000,true,,
pm_cremap_00,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[1, 0, 2]",20240619,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": false, ""case_id"": ""00"", ""measure_qubits"": [1, 0, 2]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": true, ""case_id"": ""00"", ""measure_qubits"": [1, 0, 2]}}",1.00000000,true,,
pm_cremap_01,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[2, 1, 0]",20240620,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": false, ""case_id"": ""01"", ""measure_qubits"": [2, 1, 0]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": true, ""case_id"": ""01"", ""measure_qubits"": [2, 1, 0]}}",1.00000000,true,,
pm_cremap_02,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[0, 2, 1]",20240621,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": false, ""case_id"": ""02"", ""measure_qubits"": [0, 2, 1]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": true, ""case_id"": ""02"", ""measure_qubits"": [0, 2, 1]}}",1.00000000,true,,
pm_cremap_03,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[1, 2, 0]",20240622,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": false, ""case_id"": ""03"", ""measure_qubits"": [1, 2, 0]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": true, ""case_id"": ""03"", ""measure_qubits"": [1, 2, 0]}}",1.00000000,true,,
pm_cremap_04,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[1, 0, 2]",20240623,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": false, ""case_id"": ""04"", ""measure_qubits"": [1, 0, 2]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": true, ""case_id"": ""04"", ""measure_qubits"": [1, 0, 2]}}",1.00000000,true,,
pm_cremap_05,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[2, 1, 0]",20240624,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": false, ""case_id"": ""05"", ""measure_qubits"": [2, 1, 0]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": true, ""case_id"": ""05"", ""measure_qubits"": [2, 1, 0]}}",1.00000000,true,,
pm_cremap_06,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[0, 2, 1]",20240625,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": false, ""case_id"": ""06"", ""measure_qubits"": [0, 2, 1]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": true, ""case_id"": ""06"", ""measure_qubits"": [0, 2, 1]}}",1.00000000,true,,
pm_cremap_07,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[1, 2, 0]",20240626,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": false, ""case_id"": ""07"", ""measure_qubits"": [1, 2, 0]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": true, ""case_id"": ""07"", ""measure_qubits"": [1, 2, 0]}}",1.00000000,true,,
pm_cremap_08,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[1, 0, 2]",20240627,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": false, ""case_id"": ""08"", ""measure_qubits"": [1, 0, 2]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": true, ""case_id"": ""08"", ""measure_qubits"": [1, 0, 2]}}",1.00000000,true,,
pm_cremap_09,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[2, 1, 0]",20240628,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": false, ""case_id"": ""09"", ""measure_qubits"": [2, 1, 0]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": true, ""case_id"": ""09"", ""measure_qubits"": [2, 1, 0]}}",1.00000000,true,,
pm_cremap_10,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[0, 2, 1]",20240629,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": false, ""case_id"": ""10"", ""measure_qubits"": [0, 2, 1]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": true, ""case_id"": ""10"", ""measure_qubits"": [0, 2, 1]}}",1.00000000,true,,
pm_cremap_11,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[1, 2, 0]",20240630,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": false, ""case_id"": ""11"", ""measure_qubits"": [1, 2, 0]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": true, ""case_id"": ""11"", ""measure_qubits"": [1, 2, 0]}}",1.00000000,true,,
pm_cremap_12,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[1, 0, 2]",20240631,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": false, ""case_id"": ""12"", ""measure_qubits"": [1, 0, 2]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": true, ""case_id"": ""12"", ""measure_qubits"": [1, 0, 2]}}",1.00000000,true,,
pm_cremap_13,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[2, 1, 0]",20240632,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": false, ""case_id"": ""13"", ""measure_qubits"": [2, 1, 0]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": true, ""case_id"": ""13"", ""measure_qubits"": [2, 1, 0]}}",1.00000000,true,,
pm_cremap_14,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[0, 2, 1]",20240633,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": false, ""case_id"": ""14"", ""measure_qubits"": [0, 2, 1]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": true, ""case_id"": ""14"", ""measure_qubits"": [0, 2, 1]}}",1.00000000,true,,
pm_cremap_15,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[1, 2, 0]",20240634,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": false, ""case_id"": ""15"", ""measure_qubits"": [1, 2, 0]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": true, ""case_id"": ""15"", ""measure_qubits"": [1, 2, 0]}}",1.00000000,true,,
pm_cremap_16,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[1, 0, 2]",20240635,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": false, ""case_id"": ""16"", ""measure_qubits"": [1, 0, 2]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": true, ""case_id"": ""16"", ""measure_qubits"": [1, 0, 2]}}",1.00000000,true,,
pm_cremap_17,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[2, 1, 0]",20240636,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": false, ""case_id"": ""17"", ""measure_qubits"": [2, 1, 0]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": true, ""case_id"": ""17"", ""measure_qubits"": [2, 1, 0]}}",1.00000000,true,,
pm_cremap_18,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[0, 2, 1]",20240637,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": false, ""case_id"": ""18"", ""measure_qubits"": [0, 2, 1]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": true, ""case_id"": ""18"", ""measure_qubits"": [0, 2, 1]}}",1.00000000,true,,
pm_cremap_19,program_classical_remap,program_classical_remap,builder_wrong_measurement_map,"measure_qubits=[1, 2, 0]",20240638,"{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": false, ""case_id"": ""19"", ""measure_qubits"": [1, 2, 0]}}","{""kind"": ""classical_remap"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": true, ""case_id"": ""19"", ""measure_qubits"": [1, 2, 0]}}",1.00000000,true,,
pm_qft_00,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[1, 0]",20240719,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0], ""buggy"": false, ""case_id"": ""00""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0], ""buggy"": true, ""case_id"": ""00""}}",0.74536133,true,,
pm_qft_01,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[0, 1]",20240720,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [0, 1], ""buggy"": false, ""case_id"": ""01""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [0, 1], ""buggy"": true, ""case_id"": ""01""}}",0.73791504,true,,
pm_qft_02,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[1, 1]",20240721,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 1], ""buggy"": false, ""case_id"": ""02""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 1], ""buggy"": true, ""case_id"": ""02""}}",0.74011230,true,,
pm_qft_03,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[1, 0, 1]",20240722,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": false, ""case_id"": ""03""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": true, ""case_id"": ""03""}}",0.87280273,true,,
pm_qft_04,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[0, 1, 1]",20240723,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [0, 1, 1], ""buggy"": false, ""case_id"": ""04""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [0, 1, 1], ""buggy"": true, ""case_id"": ""04""}}",0.87402344,true,,
pm_qft_05,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[1, 1, 0]",20240724,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 1, 0], ""buggy"": false, ""case_id"": ""05""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 1, 0], ""buggy"": true, ""case_id"": ""05""}}",0.87158203,true,,
pm_qft_06,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[1, 0, 0]",20240725,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": false, ""case_id"": ""06""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": true, ""case_id"": ""06""}}",0.87512207,true,,
pm_qft_07,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[0, 0, 1]",20240726,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [0, 0, 1], ""buggy"": false, ""case_id"": ""07""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [0, 0, 1], ""buggy"": true, ""case_id"": ""07""}}",0.87634277,true,,
pm_qft_08,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[1, 1, 1]",20240727,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 1, 1], ""buggy"": false, ""case_id"": ""08""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 1, 1], ""buggy"": true, ""case_id"": ""08""}}",0.87841797,true,,
pm_qft_09,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[1, 0, 1, 1]",20240728,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0, 1, 1], ""buggy"": false, ""case_id"": ""09""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0, 1, 1], ""buggy"": true, ""case_id"": ""09""}}",0.93908691,true,,
pm_qft_10,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[1, 0]",20240729,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0], ""buggy"": false, ""case_id"": ""10""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0], ""buggy"": true, ""case_id"": ""10""}}",0.75146484,true,,
pm_qft_11,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[0, 1]",20240730,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [0, 1], ""buggy"": false, ""case_id"": ""11""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [0, 1], ""buggy"": true, ""case_id"": ""11""}}",0.74743652,true,,
pm_qft_12,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[1, 1]",20240731,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 1], ""buggy"": false, ""case_id"": ""12""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 1], ""buggy"": true, ""case_id"": ""12""}}",0.75671387,true,,
pm_qft_13,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[1, 0, 1]",20240732,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": false, ""case_id"": ""13""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0, 1], ""buggy"": true, ""case_id"": ""13""}}",0.87585449,true,,
pm_qft_14,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[0, 1, 1]",20240733,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [0, 1, 1], ""buggy"": false, ""case_id"": ""14""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [0, 1, 1], ""buggy"": true, ""case_id"": ""14""}}",0.88073730,true,,
pm_qft_15,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[1, 1, 0]",20240734,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 1, 0], ""buggy"": false, ""case_id"": ""15""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 1, 0], ""buggy"": true, ""case_id"": ""15""}}",0.87719727,true,,
pm_qft_16,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[1, 0, 0]",20240735,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": false, ""case_id"": ""16""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0, 0], ""buggy"": true, ""case_id"": ""16""}}",0.87683105,true,,
pm_qft_17,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[0, 0, 1]",20240736,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [0, 0, 1], ""buggy"": false, ""case_id"": ""17""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [0, 0, 1], ""buggy"": true, ""case_id"": ""17""}}",0.87719727,true,,
pm_qft_18,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[1, 1, 1]",20240737,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 1, 1], ""buggy"": false, ""case_id"": ""18""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 1, 1], ""buggy"": true, ""case_id"": ""18""}}",0.86999512,true,,
pm_qft_19,program_qft_round_trip,program_qft_round_trip,builder_omits_inverse_qft,"bits=[1, 0, 1, 1]",20240738,"{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0, 1, 1], ""buggy"": false, ""case_id"": ""19""}}","{""kind"": ""qft_round_trip"", ""kwargs"": {""bits"": [1, 0, 1, 1], ""buggy"": true, ""case_id"": ""19""}}",0.93774414,true,,
pm_rot_00,program_rotation_periodicity,program_parameter_periodicity,builder_scales_rotation_angle,ry@theta=0.370,20240819,"{""kind"": ""rotation_periodicity"", ""kwargs"": {""axis"": ""ry"", ""buggy"": false, ""case_id"": ""00"", ""theta"": 0.37}}","{""kind"": ""rotation_periodicity"", ""kwargs"": {""axis"": ""ry"", ""buggy"": true, ""case_id"": ""00"", ""theta"": 0.37}}",0.95495605,true,,
pm_rot_01,program_rotation_periodicity,program_parameter_periodicity,builder_scales_rotation_angle,rx@theta=0.480,20240820,"{""kind"": ""rotation_periodicity"", ""kwargs"": {""axis"": ""rx"", ""buggy"": false, ""case_id"": ""01"", ""theta"": 0.48}}","{""kind"": ""rotation_periodicity"", ""kwargs"": {""axis"": ""rx"", ""buggy"": true, ""case_id"": ""01"", ""theta"": 0.48}}",0.92834473,true,,
pm_rot_02,program_rotation_periodicity,program_parameter_periodicity,builder_scales_rotation_angle,ry@theta=0.590,20240821,"{""kind"": ""rotation_periodicity"", ""kwargs"": {""axis"": ""ry"", ""buggy"": false, ""case_id"": ""02"", ""theta"": 0.59}}","{""kind"": ""rotation_periodicity"", ""kwargs"": {""axis"": ""ry"", ""buggy"": true, ""case_id"": ""02"", ""theta"": 0.59}}",0.88757324,true,,
